# x      y     HH       Yaw        Diameter   Thickness Axial_Induction
0.00    195.00 110.000  0.      130        13        0.33
650.00  195.00 110.000  0.      130        13        0.33
1300.00 195.00 110.000  0.      130        13        0.33
1850.00 195.00 110.000  0.      130        13        0.33
2500.00 195.00 110.000  0.      130        13        0.33
325.00  -195.00 110.000  0.      130        13        0.33
975.00  -195.00 110.000  0.      130        13        0.33
1625.00 -195.00 110.000  0.      130        13        0.33
2175.00 -195.00 110.000  0.      130        13        0.33
2825.00 -195.00 110.000  0.      130        13        0.33
