#    x      y     HH    Yaw Diameter Thickness Axial_Induction
1190    4139    80  0   77  10.5    0.33
1643    4127    80  0   77  10.5    0.33
2134    4148    80  0   77  10.5    0.33
2566    4249    80  0   77  10.5    0.33
2872    4028    80  0   77  10.5    0.33
3510    4048    80  0   77  10.5    0.33
1419    4742    80  0   77  10.5    0.33
1749    4814    80  0   77  10.5    0.33
2136    4840    80  0   77  10.5    0.33
2451    4919    80  0   77  10.5    0.33
2883    4641    80  0   77  10.5    0.33
3293    4437    80  0   77  10.5    0.33
1949    5379    80  0   77  10.5    0.33
2254    5375    80  0   77  10.5    0.33
3094    5365    80  0   77  10.5    0.33
3524    5588    80  0   77  10.5    0.33
1243    5902    80  0   77  10.5    0.33
1453    6395    80  0   77  10.5    0.33
2162    5830    80  0   77  10.5    0.33
2294    6199    80  0   77  10.5    0.33
2596    6366    80  0   77  10.5    0.33
3025    6421    80  0   77  10.5    0.33
2970    6028    80  0   77  10.5    0.33
3626    6243    80  0   77  10.5    0.33
0   6588    80  0   77  10.5    0.33
328 6608    80  0   77  10.5    0.33
640 6672    80  0   77  10.5    0.33
962 6666    80  0   77  10.5    0.33
607 7333    80  0   77  10.5    0.33
1289    7252    80  0   77  10.5    0.33
1607    7248    80  0   77  10.5    0.33
2045    7471    80  0   77  10.5    0.33
4811    7572    80  0   77  10.5    0.33
5495    7537    80  0   77  10.5    0.33
1536    8058    80  0   77  10.5    0.33
2017    7950    80  0   77  10.5    0.33
2310    8063    80  0   77  10.5    0.33
3043    8096    80  0   77  10.5    0.33
4975    8056    80  0   77  10.5    0.33
5298    8053    80  0   77  10.5    0.33
1438    8883    80  0   77  10.5    0.33
1729    8752    80  0   77  10.5    0.33
2605    8880    80  0   77  10.5    0.33
3119    9151    80  0   77  10.5    0.33
4786    8788    80  0   77  10.5    0.33
5501    8871    80  0   77  10.5    0.33
5966    8984    80  0   77  10.5    0.33
3454    9686    80  0   77  10.5    0.33
4530    9683    80  0   77  10.5    0.33
4959    9757    80  0   77  10.5    0.33
4931    9364    80  0   77  10.5    0.33
5630    9489    80  0   77  10.5    0.33
3779    9929    80  0   77  10.5    0.33
4826    10143   80  0   77  10.5    0.33
5481    10168   80  0   77  10.5    0.33
4267    10685   80  0   77  10.5    0.33
4676    10670   80  0   77  10.5    0.33
5212    10396   80  0   77  10.5    0.33
5683    10372   80  0   77  10.5    0.33
6199    10524   80  0   77  10.5    0.33
7767    9984    80  0   77  10.5    0.33
8171    10224   80  0   77  10.5    0.33
8532    10246   80  0   77  10.5    0.33
8115    9458    80  0   77  10.5    0.33
8550    9640    80  0   77  10.5    0.33
8102    8962    80  0   77  10.5    0.33
8482    8986    80  0   77  10.5    0.33
8815    8995    80  0   77  10.5    0.33
9226    8746    80  0   77  10.5    0.33
9699    8612    80  0   77  10.5    0.33
9653    9199    80  0   77  10.5    0.33
10009   8802    80  0   77  10.5    0.33
7896    8412    80  0   77  10.5    0.33
8295    8110    80  0   77  10.5    0.33
8786    8060    80  0   77  10.5    0.33
10317   7831    80  0   77  10.5    0.33
7755    7757    80  0   77  10.5    0.33
8187    7501    80  0   77  10.5    0.33
8713    7289    80  0   77  10.5    0.33
9651    7454    80  0   77  10.5    0.33
10854   7565    80  0   77  10.5    0.33
11324   7411    80  0   77  10.5    0.33
11705   7406    80  0   77  10.5    0.33
8365    7135    80  0   77  10.5    0.33
10201   7093    80  0   77  10.5    0.33
8136    6774    80  0   77  10.5    0.33
9754    6802    80  0   77  10.5    0.33
10553   6808    80  0   77  10.5    0.33
11251   6624    80  0   77  10.5    0.33
6927    7736    80  0   77  10.5    0.33
8027    6242    80  0   77  10.5    0.33
9108    6354    80  0   77  10.5    0.33
10594   6476    80  0   77  10.5    0.33
12470   6316    80  0   77  10.5    0.33
8932    5707    80  0   77  10.5    0.33
9142    9243    80  0   77  10.5    0.33
9877    5732    80  0   77  10.5    0.33
10196   5740    80  0   77  10.5    0.33
10616   5981    80  0   77  10.5    0.33
10891   5716    80  0   77  10.5    0.33
11189   5962    80  0   77  10.5    0.33
12451   5685    80  0   77  10.5    0.33
8893    5184    80  0   77  10.5    0.33
9513    5408    80  0   77  10.5    0.33
10261   5210    80  0   77  10.5    0.33
10039   4665    80  0   77  10.5    0.33
11636   4680    80  0   77  10.5    0.33
9591    4543    80  0   77  10.5    0.33
11212   4360    80  0   77  10.5    0.33
9176    4028    80  0   77  10.5    0.33
9585    4196    80  0   77  10.5    0.33
10638   4087    80  0   77  10.5    0.33
10243   3840    80  0   77  10.5    0.33
11124   3771    80  0   77  10.5    0.33
11569   3672    80  0   77  10.5    0.33
9564    3518    80  0   77  10.5    0.33
10933   3469    80  0   77  10.5    0.33
9358    3259    80  0   77  10.5    0.33
10363   3145    80  0   77  10.5    0.33
10740   3077    80  0   77  10.5    0.33
9788    2576    80  0   77  10.5    0.33
10906   2583    80  0   77  10.5    0.33
8513    2073    80  0   77  10.5    0.33
8939    2050    80  0   77  10.5    0.33
9304    2045    80  0   77  10.5    0.33
9991    2160    80  0   77  10.5    0.33
10303   2302    80  0   77  10.5    0.33
9805    1856    80  0   77  10.5    0.33
8463    1371    80  0   77  10.5    0.33
8942    1400    80  0   77  10.5    0.33
9330    1563    80  0   77  10.5    0.33
9816    1545    80  0   77  10.5    0.33
8388    329 80  0   77  10.5    0.33
8718    371 80  0   77  10.5    0.33
9049    333 80  0   77  10.5    0.33
9435    328 80  0   77  10.5    0.33
9870    0   80  0   77  10.5    0.33
