Blade Position,Thrust,Spin
0,0.51018416,0.06018985
0.125,0.51018416,0.06018985
0.375,0.67690019,0.14237659
0.625,0.61581228,0.15503075
0.875,0.53504544,0.12256181
1,0.53504544,0.12256181
